offer_id,invite_id,invite_created_at,invite_invitation_state,invite_state,invite_first_viewed_at,invite_material_id,invite_min_deal_quantity_kg,invite_max_deal_quantity_kg,selling_company_id,buying_org_id
95900,95835,2020-03-11 10:02:09.973915+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12282
95900,95838,2020-03-11 10:02:21.731409+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12311
95900,95841,2020-03-11 10:02:31.404534+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12923
95900,95844,2020-03-11 10:02:42.311281+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12701
95900,95847,2020-03-11 10:02:53.844503+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12868
95900,95850,2020-03-11 10:03:04.016118+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12309
95900,95853,2020-03-11 10:03:14.237187+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,14668
95900,95856,2020-03-11 10:03:32.460867+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12272
95900,95859,2020-03-11 10:03:42.924830+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12332
95900,95867,2020-03-11 10:03:53.291747+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12296
95900,95870,2020-03-11 10:04:03.846534+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12936
95900,95873,2020-03-11 10:04:13.483381+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12327
95900,95876,2020-03-11 10:04:23.800317+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12234
95900,95879,2020-03-11 10:04:38.207191+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,14649
95900,95882,2020-03-11 10:04:48.111520+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12297
95900,95885,2020-03-11 10:04:58.929477+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12938
95900,95888,2020-03-11 10:05:11.366439+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,14285
95900,95891,2020-03-11 10:05:20.883686+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12293
95900,95894,2020-03-11 10:05:30.362901+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,14676
95900,95897,2020-03-11 10:05:51.054569+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12345
95910,95904,2020-03-11 10:10:32.752680+00:00,INVALID,SOLD_OUT,,87461166,0.0,37600.0,12233,12300
95910,95907,2020-03-11 10:10:39.659745+00:00,ORDERED,SOLD_OUT,2020-03-16 12:12:51.236000+00:00,87461166,0.0,37600.0,12233,12315
95917,95914,2020-03-11 10:13:35.841162+00:00,INVALID,EXPIRED,2020-03-16 10:39:31.289000+00:00,87461220,0.0,19800.0,12233,55162
95934,95921,2020-03-11 10:17:03.877042+00:00,ORDERED,EXPIRED,2020-03-18 11:23:05.027000+00:00,83904594,0.0,34400.0,12233,12269
95934,95924,2020-03-11 10:17:11.778858+00:00,ORDERED,EXPIRED,2020-03-18 09:27:45.977000+00:00,83904594,0.0,34400.0,12233,78194
95934,95927,2020-03-11 10:17:23.256261+00:00,INVALID,EXPIRED,2020-03-19 14:38:48.665000+00:00,83904594,0.0,34400.0,12233,70315
95934,95931,2020-03-11 10:17:32.965145+00:00,INVALID,EXPIRED,,83904594,0.0,34400.0,12233,12331
95954,95939,2020-03-11 10:25:03.507321+00:00,INVALID,EXPIRED,,557971,0.0,54000.0,12233,12289
95954,95942,2020-03-11 10:25:12.850548+00:00,INVALID,EXPIRED,2020-03-18 08:27:57.376000+00:00,557971,0.0,54000.0,12233,12310
95954,95945,2020-03-11 10:25:29.859466+00:00,INVALID,EXPIRED,,557971,0.0,54000.0,12233,12927
95954,95948,2020-03-11 10:25:36.395934+00:00,INVALID,EXPIRED,,557971,0.0,54000.0,12233,12336
95954,95951,2020-03-11 10:25:51.004413+00:00,INVALID,EXPIRED,,557971,0.0,54000.0,12233,12326
95968,95956,2020-03-11 10:28:12.814731+00:00,INVALID,EXPIRED,2020-03-11 10:37:45.631000+00:00,241990,0.0,3000.0,15941,77110
95999,95965,2020-03-11 10:29:00.524016+00:00,INVALID,EXPIRED,,2806766,0.0,50000.0,7409,13677
96006,95969,2020-03-11 10:29:15.062072+00:00,INVALID,EXPIRED,,546872,0.0,34400.0,12233,12289
96006,95972,2020-03-11 10:29:36.254454+00:00,INVALID,EXPIRED,,546872,0.0,34400.0,12233,12925
96006,95975,2020-03-11 10:29:49.567402+00:00,INVALID,EXPIRED,2020-03-18 08:17:13.800000+00:00,546872,0.0,34400.0,12233,12310
96006,95978,2020-03-11 10:30:02.338009+00:00,INVALID,EXPIRED,,546872,0.0,34400.0,12233,16219
96006,95981,2020-03-11 10:30:12.994360+00:00,INVALID,EXPIRED,,546872,0.0,34400.0,12233,14876
96006,95984,2020-03-11 10:30:28.932241+00:00,INVALID,EXPIRED,,546872,0.0,34400.0,12233,12933
96006,95987,2020-03-11 10:30:57.158127+00:00,INVALID,EXPIRED,,546872,0.0,34400.0,12233,12927
96006,95990,2020-03-11 10:31:08.845968+00:00,INVALID,EXPIRED,,546872,0.0,34400.0,12233,12336
96006,95993,2020-03-11 10:31:23.087754+00:00,INVALID,EXPIRED,,546872,0.0,34400.0,12233,12326
96006,95996,2020-03-11 10:31:33.738518+00:00,INVALID,EXPIRED,2020-03-16 08:19:50.373000+00:00,546872,0.0,34400.0,12233,54196
96006,96216,2020-03-11 14:55:05.818389+00:00,INVALID,EXPIRED,,546872,0.0,34400.0,12233,79807
96007,96003,2020-03-11 10:32:38.466525+00:00,ORDERED,SOLD_OUT,2020-03-18 17:37:24.470000+00:00,2806839,0.0,20000.0,7409,13677
96014,96011,2020-03-11 10:37:37.402302+00:00,INVALID,EXPIRED,,546880,0.0,14400.0,12233,12933
96060,96050,2020-03-11 12:38:35.289904+00:00,INVALID,EXPIRED,,87617530,0.0,51600.0,12233,12289
96060,96054,2020-03-11 12:38:46.635988+00:00,INVALID,EXPIRED,2020-03-18 08:31:44.427000+00:00,87617530,0.0,51600.0,12233,12310
96060,96057,2020-03-11 12:39:03.857138+00:00,INVALID,EXPIRED,,87617530,0.0,51600.0,12233,12927
96068,96065,2020-03-11 12:43:20.409258+00:00,INVALID,EXPIRED,,87461670,0.0,19800.0,12233,12336
96073,96070,2020-03-11 12:48:09.450917+00:00,INVALID,EXPIRED,,2823261,0.0,36000.0,12233,12872
96078,96075,2020-03-11 12:51:22.101873+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12872
96085,96082,2020-03-11 12:56:18.427425+00:00,INVALID,EXPIRED,,87461697,0.0,30000.0,12233,12872
96121,96090,2020-03-11 13:00:55.167575+00:00,INVALID,SOLD_OUT,,558722,0.0,17200.0,12233,12269
96121,96093,2020-03-11 13:01:03.229088+00:00,INVALID,SOLD_OUT,,558722,0.0,17200.0,12233,12300
96121,96096,2020-03-11 13:01:18.966275+00:00,INVALID,SOLD_OUT,,558722,0.0,17200.0,12233,12909
96121,96099,2020-03-11 13:01:30.689301+00:00,INVALID,SOLD_OUT,,558722,0.0,17200.0,12233,78194
96121,96102,2020-03-11 13:01:41.459938+00:00,INVALID,SOLD_OUT,2020-03-17 13:00:38.787000+00:00,558722,0.0,17200.0,12233,12870
96121,96105,2020-03-11 13:01:52.366624+00:00,INVALID,SOLD_OUT,,558722,0.0,17200.0,12233,12915
96121,96108,2020-03-11 13:02:02.443650+00:00,INVALID,SOLD_OUT,,558722,0.0,17200.0,12233,12308
96121,96111,2020-03-11 13:02:12.105412+00:00,INVALID,SOLD_OUT,,558722,0.0,17200.0,12233,12334
96121,96115,2020-03-11 13:02:23.106114+00:00,INVALID,SOLD_OUT,,558722,0.0,17200.0,12233,12292
96121,96118,2020-03-11 13:02:34.689545+00:00,INVALID,SOLD_OUT,,558722,0.0,17200.0,12233,12287
96151,96123,2020-03-11 13:06:09.152934+00:00,ORDERED,EXPIRED,2020-03-18 09:41:49.620000+00:00,557971,0.0,306000.0,12233,12300
96151,96126,2020-03-11 13:06:23.422949+00:00,ORDERED,EXPIRED,2020-03-16 08:02:06.463000+00:00,557971,0.0,306000.0,12233,12333
96151,96129,2020-03-11 13:06:32.485114+00:00,ORDERED,EXPIRED,2020-03-18 13:52:42.230000+00:00,557971,0.0,306000.0,12233,12318
96151,96132,2020-03-11 13:06:47.406386+00:00,INVALID,EXPIRED,2020-03-17 14:03:12.832000+00:00,557971,0.0,306000.0,12233,12311
96151,96135,2020-03-11 13:06:59.046169+00:00,INVALID,EXPIRED,,557971,0.0,306000.0,12233,12307
96151,96138,2020-03-11 13:07:10.861306+00:00,INVALID,EXPIRED,,557971,0.0,306000.0,12233,12346
96151,96141,2020-03-11 13:07:25.187183+00:00,INVALID,EXPIRED,,557971,0.0,306000.0,12233,12342
96151,96145,2020-03-11 13:07:37.795576+00:00,INVALID,EXPIRED,2020-03-18 10:25:06.228000+00:00,557971,0.0,306000.0,12233,12278
96151,96148,2020-03-11 13:07:48.365253+00:00,INVALID,EXPIRED,2020-03-17 08:06:55.729000+00:00,557971,0.0,306000.0,12233,12315
96158,96155,2020-03-11 13:12:48.630626+00:00,ORDERED,EXPIRED,2020-03-16 10:36:27.330000+00:00,546988,0.0,36000.0,12233,55162
96174,96171,2020-03-11 13:24:19.622692+00:00,INVALID,EXPIRED,2020-03-18 19:52:38.279000+00:00,84203476,0.0,40824.0,17116,83977
96181,96168,2020-03-11 13:24:09.249120+00:00,ORDERED,SOLD_OUT,2020-03-11 14:30:38.627000+00:00,81861073,0.0,6000.0,7409,15288
96182,96178,2020-03-11 13:27:15.915421+00:00,INVALID,EXPIRED,,4409519,0.0,38000.0,17116,83977
96189,96186,2020-03-11 13:28:56.615059+00:00,INVALID,EXPIRED,2020-04-04 13:37:15.236000+00:00,3042646,0.0,36320.0,17116,83977
96194,96191,2020-03-11 13:51:31.743848+00:00,INVALID,EXPIRED,2020-03-16 10:38:31.790000+00:00,2338355,0.0,19800.0,12233,21049
96202,96196,2020-03-11 13:58:51.254411+00:00,ORDERED,EXPIRED,2020-03-15 08:03:20.363000+00:00,2338355,0.0,19800.0,12233,21042
96215,96211,2020-03-11 14:40:15.366187+00:00,INVALID,EXPIRED,,546872,0.0,17200.0,12233,12342
