offer_id,offer_created_at,offer_valid_from,offer_valid_until,offer_state,offer_national_currency,offer_total_quantity_kg,transaction_type,seller_user_id,unit_price_nationalcurrency
102171,2020-03-24 13:58:43.932224+00:00,2020-03-25 00:00:00+00:00,2020-03-24 14:02:12.310000+00:00,COMPLETED,CNY,860,fixed_price_offer,26588,11.402240581395349
102180,2020-03-24 14:01:31.190833+00:00,2020-03-25 00:00:00+00:00,2020-03-28 11:00:00+00:00,COMPLETED,CNY,2700,fixed_price_offer,26588,11.598591074074074
102190,2020-03-24 14:06:13.710929+00:00,2020-03-25 00:30:00+00:00,2020-03-28 01:00:00+00:00,COMPLETED,CNY,1720,fixed_price_offer,26588,11.397790058139535
102206,2020-03-24 14:21:22.912328+00:00,2020-03-24 14:30:00+00:00,2020-03-26 15:00:00+00:00,COMPLETED,EUR,101480,fixed_price_offer,8764,5.5
102219,2020-03-24 14:38:31.539341+00:00,2020-03-24 14:45:00+00:00,2020-04-30 16:00:00+00:00,COMPLETED,EUR,20000,fixed_price_offer,16628,1.65
10223,2019-08-23 09:43:00.152363+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,23000,fixed_price_offer,2776,1.53
102231,2020-03-24 15:17:41.480508+00:00,2020-03-24 15:30:00+00:00,2020-03-26 15:00:00+00:00,COMPLETED,EUR,32000,fixed_price_offer,8764,1.79
102271,2020-03-25 03:48:22.460778+00:00,2020-03-25 06:00:00+00:00,2020-04-01 16:00:00+00:00,COMPLETED,USD,20000,fixed_price_offer,32286,1.479996765
10229,2019-08-23 09:45:00.773137+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,44000,fixed_price_offer,2776,1.46
10236,2019-08-23 09:47:34.340134+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,19350,fixed_price_offer,2776,2.9
102367,2020-03-25 04:38:11.833085+00:00,2020-03-25 04:40:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,36000,fixed_price_offer,31078,11.800036566666668
10243,2019-08-23 09:49:39.607703+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,40000,fixed_price_offer,2776,1.8
102472,2020-03-25 05:16:28.102193+00:00,2020-03-25 05:19:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,21500,fixed_price_offer,31078,11.800021674418605
102488,2020-03-25 07:15:16.821903+00:00,2020-03-25 07:20:00+00:00,2020-04-01 07:00:00+00:00,COMPLETED,EUR,20000,fixed_price_offer,23453,1.65
10250,2019-08-23 09:51:16.798018+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,40000,fixed_price_offer,2776,2.1
102500,2020-03-25 07:47:53.459566+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,6020,fixed_price_offer,19544,3.4199335548172756
102507,2020-03-25 07:50:27.188029+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,4300,fixed_price_offer,19544,2.06
102521,2020-03-25 07:54:07.214146+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,4500,fixed_price_offer,19544,2.2
102528,2020-03-25 08:24:28.589167+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,6020,fixed_price_offer,19544,3.25
102535,2020-03-25 08:31:01.343220+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,8600,fixed_price_offer,19544,1.92
102542,2020-03-25 08:32:49.901741+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,9000,fixed_price_offer,19544,2.02
102549,2020-03-25 08:43:55.491535+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,21000,fixed_price_offer,19544,1.83
